paperType,paperCategory,paperSubCategory,paperName,sectionName,SectionType,subSectionName,questionNumber,question,questionImage,option1,option1_Image,option2,option2_Image,option3,option3_Image,option4,option4_Image,correctOption,answerDescription1,answerDescriptionImage,complexityLevel,complexityScore,type,totalScore
SSC,SSC_CGL,SSC_CGL_TIER1,ssc-tier-paper-2,English Language,EnglishLanguage,Error Spotting Grammer,1,"In the following question, some part of the sentence may have errors. Find out which part of the sentence has an error and select the appropriate option. If a sentence is free from error, select 'No Error'.

No sooner did I come out of my home (1)/ when it started raining heavily (2)/ which drenched me completely. (3)/ No error",,1,,2,,3,,No Error,,2,"No sooner&nbsp;is used to show that one thing happened immediately after another thing. It is often used with the past indefinite or past perfect, and usually followed by&nbsp;than. Its structure would be:<br><br>No sooner + did + Subject + verb (Ist form) + .... than + ....<br> <br>Example: &nbsp;<strong>No sooner did</strong>&nbsp;I arrive at the station than the train came.<br><br>The correct sentence would be:<br><br><em>No sooner did I come out of my home than it started raining heavily which drenched me completely.",,medium,5,mcq,200
SSC,SSC_CGL,SSC_CGL_TIER1,ssc-tier-paper-2,English Language,EnglishLanguage,Error Spotting Grammer,2,"Find the error: (A) He is one of / (B) those students who / (C) has passed / (D) the examination.",,A,,B,,C,,D,,3,"'who' refers to 'students' (plural), so it should be 'have passed' instead of 'has passed'.<br><br>Correct: He is one of those students who <strong>have passed</strong> the examination.",,medium,5,mcq,200
SSC,SSC_CGL,SSC_CGL_TIER1,ssc-tier-paper-2,English Language,EnglishLanguage,Synonyms,3,"Choose the correct synonym of 'Abundant'",,Scarce,,Plentiful,,Limited,,Rare,,2,"Abundant means existing in large quantities, which is similar to <strong>plentiful</strong>.",,easy,5,mcq,200
SSC,SSC_CGL,SSC_CGL_TIER1,ssc-tier-paper-2,Quantitative Aptitude,QuantitativeAptitude,Arithmetic,4,"If 15% of a number is 45, what is the number?",,300,,250,,200,,350,,1,"Let the number be x.<br>15% of x = 45<br>x = 45 × 100/15 = <strong>300</strong>",,easy,5,mcq,200
SSC,SSC_CGL,SSC_CGL_TIER1,ssc-tier-paper-2,Quantitative Aptitude,QuantitativeAptitude,Arithmetic,5,"A shopkeeper sells an article at 20% profit. If the cost price is Rs. 500, what is the selling price?",,Rs. 550,,Rs. 600,,Rs. 650,,Rs. 700,,2,"SP = CP + 20% of CP = 500 + 100 = <strong>Rs. 600</strong>",,easy,5,mcq,200
SSC,SSC_CGL,SSC_CGL_TIER1,ssc-tier-paper-2,Quantitative Aptitude,QuantitativeAptitude,Geometry,6,"The area of a circle with radius 7 cm is:",,144 sq cm,,154 sq cm,,164 sq cm,,174 sq cm,,2,"Area = πr² = 22/7 × 7 × 7 = <strong>154 sq cm</strong>",,easy,5,mcq,200
SSC,SSC_CGL,SSC_CGL_TIER1,ssc-tier-paper-2,General Intelligence,GeneralIntelligence,Analogies,7,"Book is to Reading as Fork is to ?",,Eating,,Writing,,Sleeping,,Walking,,1,"A fork is used for <strong>eating</strong>, just as a book is used for reading.",,easy,5,mcq,200
SSC,SSC_CGL,SSC_CGL_TIER1,ssc-tier-paper-2,General Intelligence,GeneralIntelligence,Analogies,8,"Select the odd one out: Apple, Mango, Potato, Orange",,Apple,,Mango,,Potato,,Orange,,3,"<strong>Potato</strong> is a vegetable while others are fruits.",,easy,5,mcq,200
SSC,SSC_CGL,SSC_CGL_TIER1,ssc-tier-paper-2,General Intelligence,GeneralIntelligence,Series,9,"Complete the series: 2, 6, 12, 20, ?",,28,,30,,32,,36,,2,"The pattern is n(n+1): 1×2=2, 2×3=6, 3×4=12, 4×5=20, 5×6=<strong>30</strong>",,medium,5,mcq,200
SSC,SSC_CGL,SSC_CGL_TIER1,ssc-tier-paper-2,General Awareness,GeneralAwareness,History,10,"Who wrote the Indian National Anthem?",,Bankim Chandra Chatterjee,,Rabindranath Tagore,,Sarojini Naidu,,Mahatma Gandhi,,2,"Jana Gana Mana was written by <strong>Rabindranath Tagore</strong>.",,easy,5,mcq,200
